ลำดับ,วันที่,เวลาเริ่ม,เวลาสิ้นสุด,ระยะเวลาดับ_นาที,สถานที่,รหัสอุปกรณ์,จำนวนผชฟ_กระทบ,สภาพอากาศ,สาเหตุ,ช่องทางการแจ้ง,เวลารับแจ้ง,เวลาออกปฏิบัติงาน,เวลาเสร็จงาน,เวลาแก้ไข_นาที,ผู้ปฏิบัติงาน,ยานพาหนะ,อุปกรณ์_รายการ,อุปกรณ์_จำนวน,หมายเหตุ,date_iso
11,3 ม.ค. 2569,07:56,08:21,24,กฟส.นาหว้า (XS),SSK06F-35-3,41,อากาศชื้น / หมอก,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,07:56,08:05,08:30,25,1. สุรธรรม แพงเหนือ,รถ : นาหว้า 02,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-01-03
12,3 ม.ค. 2569,09:50,10:25,35,กฟส.บ้านแพง (S),SSK08F-69,1116,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,09:50,09:55,10:28,33,1. จตุรภุช สะท้านอิทธิฤทธิ์,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-01-03
13,3 ม.ค. 2569,11:37,11:58,20,กฟส.ท่าอุเทน (XS),SSK02VF-232,37,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,11:37,10:30,12:00,90,1. อภิรักษ์ สาตะรักษ์,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,1,,2026-01-03
14,3 ม.ค. 2569,13:23,13:29,6,กฟส.ท่าอุเทน (XS),30348130,1,อากาศปกติ,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,13:23,13:02,14:06,64,1. อภิรักษ์ สาตะรักษ์,รถ : รถแก้ไฟท่าอุเทน,,,,2026-01-03
15,3 ม.ค. 2569,16:04,16:34,29,กฟส.ท่าอุเทน (XS),21855976,1,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,16:04,16:05,16:36,31,1. อภิรักษ์ สาตะรักษ์,รถ : รถแก้ไฟท่าอุเทน,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-03
16,3 ม.ค. 2569,18:45,20:38,113,กฟส.เรณูนคร (XS),64-021612,48,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,18:45,18:46,20:44,118,1. สันติ จันทโคตร,รถ : ผอ2572ขอนแก่น,,,,2026-01-03
17,3 ม.ค. 2569,19:09,20:20,70,กฟส.โพนสวรรค์ (XS),5700405281,1,ลมแรง,อุปกรณ์-ติดตั้งไม่ได้มาตรฐาน,ศจฟ,19:09,19:11,20:52,101,1. วรัญญู สังรวมใจ,รถ : โพนสวรรค์-02,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-03
18,3 ม.ค. 2569,20:00,21:53,113,กฟส.ปลาปาก (XS),45-009802,29,ลมแรง,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,20:00,20:02,21:37,95,1. ราชันย์ กุลสุทธิ์,รถ : รถแก้ไฟปลาปาก 01,"CABLE,AL,750 V,50 SQ.MM. TIS.293",4,,2026-01-03
19,3 ม.ค. 2569,20:47,21:45,58,กฟส.เรณูนคร (XS),5700696144,1,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,20:47,20:59,21:50,51,1. สันติ จันทโคตร,รถ : ผอ2572ขอนแก่น,,,,2026-01-03
20,3 ม.ค. 2569,22:03,23:16,73,กฟส.โพนสวรรค์ (XS),6100092343,1,ลมแรง,อุปกรณ์-ติดตั้งไม่ได้มาตรฐาน,ศจฟ,22:03,22:05,23:46,101,1. วรัญญู สังรวมใจ,รถ : โพนสวรรค์-02,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-03
21,4 ม.ค. 2569,07:30,06:30,0,กฟส.บ้านแพง (S),SSK08F-59,746,อากาศชื้น / หมอก,วัสดุแปลกปลอม-ว่าว/โคมลอย/ลูกโป่ง/บั้งไฟ,ศจฟ,07:30,06:00,07:00,60,1. ชินดนัย คงชะสิงห์  | 2. ปิยะณัฐ พลเหี้ยมหาญ,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,3,,2026-01-04
22,4 ม.ค. 2569,07:30,08:31,61,กฟส.ท่าอุเทน (XS),SSK02VF-203,1,อากาศชื้น / หมอก,วัสดุแปลกปลอม-ว่าว/โคมลอย/ลูกโป่ง/บั้งไฟ,ศจฟ,07:30,06:10,08:33,143,1. วีระพงษ์ วงตรี  | 2. อภิรักษ์ สาตะรักษ์,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-01-04
23,4 ม.ค. 2569,13:46,14:31,45,กฟส.โพนสวรรค์ (XS),6100298343,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,13:46,13:47,14:47,60,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-02,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-04
24,4 ม.ค. 2569,14:06,15:05,58,กฟส.เรณูนคร (XS),THA06F-53,657,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,14:06,14:07,15:12,65,1. พงศวัชร์ ธัญภัทร์อนันต์,รถ : ผอ2572ขอนแก่น,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,1,,2026-01-04
25,4 ม.ค. 2569,14:54,15:31,36,กฟส.โพนสวรรค์ (XS),26974459,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,14:54,14:55,15:40,45,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-02,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-04
26,4 ม.ค. 2569,15:42,16:24,42,กฟส.โพนสวรรค์ (XS),6000123651,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,15:42,15:44,16:39,56,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-02,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-04
27,4 ม.ค. 2569,17:30,18:30,60,กฟส.โพนสวรรค์ (XS),SSS01F-12142,4,อากาศปกติ,สัตว์-กระรอก/กระแต/หนู,ศจฟ,17:30,17:43,18:55,72,1. วสุธา หล้าพรหม,รถ : โพนสวรรค์-02,FUSE LINK 22 KV. 5-6 A.EEI-NEMA TYPE K,1,,2026-01-04
28,5 ม.ค. 2569,08:27,08:28,1,กฟส.ท่าอุเทน (XS),SSK02VF-208,554,อากาศชื้น / หมอก,สัตว์-กระรอก/กระแต/หนู,ศจฟ,08:27,05:20,07:53,153,1. ปรินทร์ บุญเทียม,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,2,,2026-01-05
29,5 ม.ค. 2569,10:22,11:07,45,กฟส.นาแก (S),SOA07VF-505-2,47,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,10:22,10:23,11:08,45,1. วรพันธุ์ ตันสมรส,รถ : นก-03,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,3,,2026-01-05
30,5 ม.ค. 2569,10:23,11:09,45,กฟส.นาแก (S),34-003145,31,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,10:23,10:24,11:11,47,1. วรพันธุ์ ตันสมรส,รถ : นก-03,COVERED TIE WIRE.AL.4.0 MM.,1,,2026-01-05
31,5 ม.ค. 2569,17:10,18:30,79,กฟส.ท่าอุเทน (XS),SSK02VF-258,710,อากาศปกติ,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,17:10,17:13,19:20,127,1. สุรธวัช วุฒิสาร,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,1,,2026-01-05
32,5 ม.ค. 2569,21:00,21:20,20,กฟจ.นครพนม (L),NNA01VF-069,436,อากาศปกติ,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,21:00,21:00,21:32,32,1. ชัยยา มาตขาว  | 2. ภานุวัฒน์ สิงห์ทองไชย,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-01-05
33,6 ม.ค. 2569,06:20,06:20,0,กฟส.โพนสวรรค์ (XS),SSK09F-07,1856,อากาศชื้น / หมอก,อุปกรณ์-ติดตั้งไม่ได้มาตรฐาน,ศจฟ,06:20,05:06,06:41,95,1. เพชราวุธ โพชราช,รถ : โพนสวรรค์-02,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-01-06
34,6 ม.ค. 2569,07:54,07:41,0,กฟส.โพนสวรรค์ (XS),SSK07F-5888888,2,อากาศชื้น / หมอก,อุปกรณ์-ชำรุด,ศจฟ,07:54,07:04,08:13,69,1. เพชราวุธ โพชราช,รถ : โพนสวรรค์-02,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-01-06
35,6 ม.ค. 2569,14:05,14:35,29,กฟส.ศรีสงคราม (XS),SSK02VF-027,1,อากาศปกติ,สัตว์-งู,ศจฟ,14:05,14:10,14:55,45,1. ปัญจพงษ์ เศรษฐาไชย,รถ : ศรีสงคราม 01,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-01-06
36,6 ม.ค. 2569,17:58,18:53,54,กฟส.เรณูนคร (XS),59-021165,165,ลมแรง,สัตว์-งู,ศจฟ,17:58,17:59,18:57,58,1. พงศวัชร์ ธัญภัทร์อนันต์,รถ : ผอ2572ขอนแก่น,,,,2026-01-06
37,6 ม.ค. 2569,18:48,20:15,87,กฟส.นาแก (S),56-008552,186,อากาศปกติ,สัตว์-งู,ศจฟ,18:48,18:51,20:16,85,1. วรพันธุ์ ตันสมรส,รถ : นก-03,"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-01-06
38,6 ม.ค. 2569,19:54,20:01,7,กฟส.บ้านแพง (S),40-021751,25,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,19:54,16:45,17:35,50,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-01-06
39,6 ม.ค. 2569,22:41,23:00,18,กฟส.ศรีสงคราม (XS),SSK08VF-038,1,อากาศชื้น / หมอก,สัตว์-งู,ศจฟ,22:41,22:42,23:05,23,1. เชาวลิต หัสรินทร์,รถ : ศรีสงคราม 01,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-01-06
40,7 ม.ค. 2569,06:42,07:52,70,กฟส.ท่าอุเทน (XS),BFA09VF-213,17,อากาศชื้น / หมอก,สัตว์-งู,ศจฟ,06:42,06:43,07:57,74,1. สุรธวัช วุฒิสาร  | 2. อนุสรณ์ ทองประสม,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 8 A.EEI-NEMA TYPE K,1,,2026-01-07
41,7 ม.ค. 2569,08:52,10:21,88,กฟจ.นครพนม (L),NNA01VF-053,17,อากาศปกติ,สัตว์-งู,ศจฟ,08:52,08:30,08:59,29,1. ถวิล เมษาคุณ  | 2. ทศวรรษ มังคละคีรี  | 3. ปรีชา เพ็งคำ,รถ : 3ฒภ 2576 กทม (นพ 01),"CONN.,PG,DOUBLE BOLT,AL 25-95 SQ.MM.",2,,2026-01-07
42,7 ม.ค. 2569,14:58,15:29,31,กฟส.ศรีสงคราม (XS),SSK02VF-022,3,อากาศปกติ,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,14:58,15:03,16:03,60,1. ปัญจพงษ์ เศรษฐาไชย,รถ : ศรีสงคราม 01,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-01-07
43,8 ม.ค. 2569,08:54,09:38,44,กฟส.ปลาปาก (XS),38-000492,35,ลมแรง,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,08:54,08:55,10:00,65,1. สุธรรม จันทะผา,รถ : รถแก้ไฟปลาปาก 01,"CABLE,AL,750 V,50 SQ.MM. TIS.293",4,,2026-01-08
44,8 ม.ค. 2569,10:31,11:10,38,กฟส.ธาตุพนม (S),67-027539,37,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,10:31,10:33,11:12,39,1. นรากร แสนโสม,รถ : กระเช้าธาตุพนม,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-01-08
45,8 ม.ค. 2569,10:39,10:48,9,กฟจ.นครพนม (L),NNA04F-1617,1,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,10:39,10:40,10:59,19,1. กิติศักดิ์ หาราช  | 2. พงษ์สนิจ ศรีวิชัย  | 3. สุรวุฒิ สุขแสงดาว,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-01-08
46,8 ม.ค. 2569,11:01,11:26,24,กฟจ.นครพนม (L),NNB02VF-013,270,ลมแรง,สัตว์-กระรอก/กระแต/หนู,ศจฟ,11:01,11:02,11:30,28,1. กิติศักดิ์ หาราช  | 2. พงษ์สนิจ ศรีวิชัย  | 3. สุรวุฒิ สุขแสงดาว,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,1,,2026-01-08
47,8 ม.ค. 2569,13:00,12:00,0,กฟส.โพนสวรรค์ (XS),6200492927,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,13:00,10:00,11:30,90,1. สุทธิเกียรติ บุญรังษี,รถ : โพนสวรรค์-02,"RACK, 2X200 MM. EXT.BACK",1,,2026-01-08
48,8 ม.ค. 2569,13:09,13:45,36,กฟส.ปลาปาก (XS),64-018350,20,อากาศปกติ,สัตว์-งู,ศจฟ,13:09,13:10,14:28,78,1. สุธรรม จันทะผา,รถ : รถแก้ไฟปลาปาก 01,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-01-08
49,8 ม.ค. 2569,16:45,17:10,24,กฟส.ธาตุพนม (S),68-000676,25,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,16:45,17:00,17:35,35,1. ธีรพิชญ์ มิ่งขวัญ  | 2. อติชาติ เมืองงาม,รถ : กระเช้าธาตุพนม,"H.R.C. FUSE, BLADE CONTACT, 80 A",1,,2026-01-08
50,8 ม.ค. 2569,17:06,17:13,7,กฟส.ท่าอุเทน (XS),NNA01VF-206,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,17:06,17:05,17:14,9,1. ปรินทร์ บุญเทียม,รถ : รถแก้ไฟท่าอุเทน,FUSE HOLDER 22 KV. 100 A. 12 KA.,2,,2026-01-08
51,8 ม.ค. 2569,17:06,18:19,73,กฟส.โพนสวรรค์ (XS),6000828602,1,ลมแรง,อุปกรณ์-ติดตั้งไม่ได้มาตรฐาน,ศจฟ,17:06,17:08,18:55,107,1. วรัญญู สังรวมใจ,รถ : โพนสวรรค์-02,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-08
52,8 ม.ค. 2569,18:09,18:00,0,กฟส.ธาตุพนม (S),30348248,1,อากาศปกติ,สภาพสิ่งแวดล้อม-ความชื้น,ศจฟ,18:09,17:40,18:11,31,1. ธีรพิชญ์ มิ่งขวัญ  | 2. อติชาติ เมืองงาม,รถ : กระเช้าธาตุพนม,,,,2026-01-08
53,8 ม.ค. 2569,19:01,20:10,69,กฟส.นาหว้า (XS),44-004209,55,อากาศปกติ,สภาพสิ่งแวดล้อม-ความชื้น,ศจฟ,19:01,19:02,20:11,69,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-01-08
54,8 ม.ค. 2569,21:04,21:20,15,กฟส.นาหว้า (XS),66-018361,124,อากาศปกติ,สภาพสิ่งแวดล้อม-ความชื้น,ศจฟ,21:04,21:00,21:22,22,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,"CABLE LUG,NEMA 2-HOLE,AL 50 SQ.MM.",2,,2026-01-08
55,9 ม.ค. 2569,07:30,08:15,45,กฟส.ศรีสงคราม (XS),SSK02VF-005,55,อากาศชื้น / หมอก,สภาพสิ่งแวดล้อม-ความชื้น,ศจฟ,07:30,07:20,08:39,79,1. ปัญจพงษ์ เศรษฐาไชย,รถ : ศรีสงคราม 01,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,1,,2026-01-09
56,9 ม.ค. 2569,07:36,07:38,2,กฟส.ท่าอุเทน (XS),22-005685,317,อากาศปกติ,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,07:36,06:00,08:00,120,1. ปรินทร์ บุญเทียม,รถ : รถแก้ไฟท่าอุเทน,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-01-09
57,9 ม.ค. 2569,10:27,10:48,20,กฟส.ปลาปาก (XS),45-013487,32,อากาศปกติ,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,10:27,10:28,11:01,33,1. สุธรรม จันทะผา,รถ : รถแก้ไฟปลาปาก 01,"CABLE,AL,750 V,50 SQ.MM. TIS.293",4,,2026-01-09
58,9 ม.ค. 2569,11:51,12:11,20,กฟจ.นครพนม (L),61-011735,70,อากาศปกติ,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,11:51,11:00,12:10,70,1. ปรีชา เพ็งคำ  | 2. พิพัฒน์ นะระทะ  | 3. สันติ อินทิสาร,รถ : 81-1269 นพ (นพ 03),"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-01-09
59,9 ม.ค. 2569,13:04,14:29,85,กฟส.นาแก (S),56-014214,87,อากาศปกติ,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,13:04,13:05,14:30,85,1. วรพันธุ์ ตันสมรส,รถ : นก-03,"CABLE,AL,750 V,50 SQ.MM. TIS.293",5,,2026-01-09
60,9 ม.ค. 2569,14:43,15:05,22,กฟส.ศรีสงคราม (XS),SSK08VF-036,1,อากาศปกติ,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,14:43,14:45,15:30,45,1. ปัญจพงษ์ เศรษฐาไชย,รถ : ศรีสงคราม 01,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,1,,2026-01-09
61,9 ม.ค. 2569,18:56,18:58,2,กฟส.นาแก (S),SOA07VF-509,389,อากาศปกติ,ต้นไม้-ลมพัดต้นไม้มาแตะสาย,ศจฟ,18:56,18:54,18:59,5,1. วรพันธุ์ ตันสมรส,รถ : นก-03,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-01-09
62,9 ม.ค. 2569,19:07,19:19,12,กฟส.ธาตุพนม (S),,36,อากาศปกติ,โหลดเกินพิกัด-โหลดเกินพิกัด,ศจฟ,19:07,19:09,19:21,12,1. นฤสรธ์ น้อยนารถ,รถ : กระเช้าธาตุพนม,"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-01-09
63,9 ม.ค. 2569,19:51,21:03,72,กฟส.โพนสวรรค์ (XS),SSK07F-10,443,อากาศปกติ,สัตว์-งู,ศจฟ,19:51,19:52,21:44,112,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-02,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,2,,2026-01-09
64,9 ม.ค. 2569,20:11,20:26,15,กฟส.นาแก (S),THA04VF-225-2,1,อากาศปกติ,สัตว์-งู,ศจฟ,20:11,20:11,20:27,16,1. วรพันธุ์ ตันสมรส,รถ : นก-03,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-01-09
65,10 ม.ค. 2569,00:21,01:04,42,กฟส.ท่าอุเทน (XS),20296454,1,อากาศปกติ,สัตว์-งู,ศจฟ,00:21,00:02,01:07,65,1. อภิรักษ์ สาตะรักษ์,รถ : รถแก้ไฟท่าอุเทน,,,,2026-01-10
66,10 ม.ค. 2569,07:14,07:53,38,กฟส.โพนสวรรค์ (XS),NNA01F-45,869,อากาศชื้น / หมอก,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,07:14,05:57,07:59,122,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-02,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-01-10
67,10 ม.ค. 2569,13:02,14:05,63,กฟส.ธาตุพนม (S),THA05F-18,2,อากาศปกติ,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,13:02,13:03,14:06,63,1. กฤตพงศ์ วงค์ขะวงค์,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-01-10
68,10 ม.ค. 2569,14:01,15:00,58,กฟส.ท่าอุเทน (XS),BFA09VF-205,54,อากาศปกติ,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,14:01,14:04,15:13,69,1. สุรธวัช วุฒิสาร,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-01-10
69,10 ม.ค. 2569,18:44,20:00,76,กฟส.นาแก (S),52-001075,18,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,18:44,18:50,20:02,72,1. ธีระวัฒน์ สิงนวน,รถ : นก-03,"CABLE,AL,750 V,50 SQ.MM. TIS.293",12,,2026-01-10
70,10 ม.ค. 2569,19:43,20:51,67,กฟส.นาหว้า (XS),63-004471,96,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,19:43,20:12,20:55,43,1. กิตติศักดิ์ คำชนะ,รถ : นาหว้า 02,"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-01-10
71,10 ม.ค. 2569,20:05,21:19,73,กฟส.นาแก (S),THA04VF-225,678,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,20:05,20:06,21:21,75,1. ธีระวัฒน์ สิงนวน,รถ : นก-03,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-01-10
72,10 ม.ค. 2569,21:15,21:43,27,กฟส.ธาตุพนม (S),THA06F-52,506,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,21:15,21:19,21:45,26,1. ธีรพิชญ์ มิ่งขวัญ  | 2. อุทัย สุมินทร์,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-01-10
73,11 ม.ค. 2569,15:00,15:20,20,กฟส.โพนสวรรค์ (XS),5800330071,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,15:00,13:37,14:45,68,1. รวิชญ์ พรมน้อย,รถ : โพนสวรรค์-02,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-01-11
